config_type,n,rel_F_RMSE_pct,mean_meV_A,median_meV_A,p90_meV_A,p95_meV_A,max_meV_A,shape_guess
Naf1.0PtOH,13,43.912677727559675,69.02516670891761,68.37316715025773,76.83929019454136,77.42542355737686,77.47391391863997,broad/smooth
ptclosenaf0.25_optimised_structure,1,43.37592156504743,72.15329294519702,72.15329294519702,72.15329294519702,72.15329294519702,72.15329294519702,broad/smooth
finov_optimised_structure,1,42.53261314942238,62.63453399403981,62.63453399403981,62.63453399403981,62.63453399403981,62.63453399403981,broad/smooth
FORCED_Naf0.25PtOH_neb_img06,1,42.142345378100764,200.15628496353847,200.15628496353847,200.15628496353847,200.15628496353847,200.15628496353847,broad/smooth
Naf1.0PtO,11,41.20613820641113,77.30498493431843,78.82127422942283,81.85108601450713,85.384486598524,88.91788718254088,broad/smooth
fps_pt_diss_naf_framesv1_recalibrated,10,40.919157429153,68.085825667919,67.11257958031464,74.85796490355098,75.97478454131594,77.09160417908092,broad/smooth
FORCED_Close0.375PtOH_neb_img00,1,40.75266668104213,73.68162435366948,73.68162435366948,73.68162435366948,73.68162435366948,73.68162435366948,broad/smooth
ptdisnaf_optimised_structure,1,40.68872517131666,50.5594685454001,50.5594685454001,50.5594685454001,50.5594685454001,50.5594685454001,broad/smooth
FORCED_5PtGraph_sol,1,40.2682205653068,63.61578759094648,63.61578759094648,63.61578759094648,63.61578759094648,63.61578759094648,broad/smooth
FORCED_Clo0.375neb5,1,39.62576649417432,95.02199611894541,95.02199611894541,95.02199611894541,95.02199611894541,95.02199611894541,broad/smooth
FORCED_Naf0.75neb6,1,38.89113660621606,80.96878341537192,80.96878341537192,80.96878341537192,80.96878341537192,80.96878341537192,broad/smooth
FORCED_Naf0.75O2neb10,1,38.83058403069394,81.83932394572332,81.83932394572332,81.83932394572332,81.83932394572332,81.83932394572332,broad/smooth
Close0.375PtOH,2,38.473087850987746,96.67433318307738,96.67433318307738,114.00836593011118,116.17512002349041,118.34187411686963,broad/smooth
Naf0.375PtOH,5,38.242119646766945,80.20800322912,76.27416593795658,88.07150376859623,89.55060613674715,91.02970850489807,broad/smooth
FORCED_Close0.375PtOH_neb_img08,1,38.160403212522574,72.20424498057537,72.20424498057537,72.20424498057537,72.20424498057537,72.20424498057537,broad/smooth
