config_type,n_frames,RMSE_E_meV_per_atom,RMSE_F_meV_per_A,rel_F_RMSE_pct
ptclosenaf0.25_optimised_structure,1,2.080363098457383,71.83466861356683,43.184376266789116
FORCED_Close0.375PtO_neb_img07,1,10.826882548599315,121.14493132631803,43.047007493855816
finov_optimised_structure,1,2.9422237371363735,62.70712049836162,42.58190374857463
FORCED_Naf0.75neb6,1,5.274404565852819,87.84731607734378,42.1950513017687
Close0.375PtOH,2,7.148121042111543,111.2561607587838,41.30643138648782
FORCED_Close0.375PtOH_neb_img00,1,1.6476177958111293,74.48539942503113,41.19722769414499
Naf0.25PtO,8,6.343888242257235,72.26672307363881,40.911650712976204
ptdisnaf_optimised_structure,1,7.623468255360422,50.765862476013034,40.85482474002943
FORCED_Clo0.375neb5,1,6.270411628634065,97.85233753979456,40.80606634917807
FORCED_Naf0.375Neb4,1,4.645334642304988,82.24420533241232,40.34928304925023
Naf1.0PtO,11,6.235636477492719,82.36644895067579,39.931751961733475
FORCED_Close0.375PtO2_neb_img00,1,3.3003097587425145,70.60038277054254,39.18468940179932
FORCED_Naf0.75PtOH2_neb_img09,1,4.294956328067201,80.77638408049056,38.480287316144846
Close0.0Pt,7,3.33534081743428,76.21326393792346,37.76072805722022
FORCED_Wet0.375PtOH2_neb_img00,1,0.26341775617311214,56.458520580422274,37.64507499656504
Wet0.25PtOH2,2,0.9838117782343869,55.07563923761453,37.34316870679472
FORCED_Close0.25PtOH2_neb_img00,1,2.0077890162610856,68.51305650434068,36.73115529318681
FORCED_Close0.25PtOH_neb_img10,1,6.017993939394728,78.91763392259513,36.13694226212722
FORCED_Naf0.75neb4,1,11.00197556877447,73.3391001311135,36.06344197948753
Wet0.375Pt,1,4.250890483604053,61.946796651584876,35.897216628890824
FORCED_Close0.75PtOH_neb_img11,1,4.221022698402521,83.8500733162938,35.767692418539255
Wet0.375PtOH,5,1.4994318549270518,61.85438472558971,35.53958482528158
DissolvedO2_Nafion,9,9.858450154328077,64.64280268392316,35.473320451463344
FORCED_Close0.375PtOH2_neb_img00,1,1.7463553349443828,64.68764186249821,35.301505305918575
FORCED_Close0.75PtOH2_neb_img00,1,1.8635307327485862,72.74211237617182,34.723485803740466
FORCED_Naf0.25PtO2_neb_img00,1,0.03680911299852596,70.15425650716016,34.6512689171273
Naf0.375PtOH,5,4.978313862900033,73.35002676981128,34.63451334534508
FORCED_Close0.25PtOH_neb_img00,1,1.050076783599252,68.88618939555703,34.47426860061764
Dry1.0PtOH2,6,19.173021794253792,140.56298780186563,34.431618529133324
FORCED_Close0.75PtO2_neb_img00,1,3.1700633226137143,71.59944791612266,34.37889351455182
FORCED_Close0.25PtO_neb_img00,1,0.34933528365854727,66.6011138578511,33.52628604261692
