config_type,n_frames,RMSE_E_meV_per_atom,RMSE_F_meV_per_A,rel_F_RMSE_pct
FORCED_Naf0.75O2neb10,1,6.174953957952312,81.83942266353007,38.83063086966945
FORCED_Naf0.75PtO2_neb_img00,1,8.104393908865859,73.14568024831878,64.24517223964845
FORCED_Naf0.75PtO2_neb_img04,1,20.45044958128983,77.65182187031489,30.296684334052422
FORCED_Naf0.75PtO2_neb_img07,1,9.009978404151298,66.59410431134641,36.13605263027804
FORCED_Naf0.75PtOH2_neb_img00,1,7.715095439948527,70.86404629410644,62.104729872797755
FORCED_Naf0.75PtOH2_neb_img08,1,9.524172897272365,76.84527222171397,47.31836219353436
FORCED_Naf0.75PtOH2_neb_img09,1,7.457158709030409,77.29936903124752,36.823905446363355
FORCED_Naf0.75PtOH_neb_img00,1,8.982560088611535,73.56474782956498,63.405429392039565
FORCED_Naf0.75PtOH_neb_img08,1,6.789458146272409,82.63617702164774,13.485082482724836
FORCED_Naf0.75PtOH_neb_img09,1,14.256128325996542,76.60825112168467,18.13889895948985
FORCED_Naf0.75Pt_neb_img06,1,6.580814005928914,73.21589284427874,55.857072980167196
FORCED_Naf0.75Pt_neb_img10,1,12.619863362374417,81.84709216476965,33.66422354462897
FORCED_Naf0.75neb4,1,14.102173981427768,70.6793552331804,34.755550886804826
FORCED_Naf0.75neb6,1,8.95834765537984,80.96880465917022,38.89114681009251
FORCED_Naf1.0PtO2_neb_img07,1,11.636358134865077,116.07015455433906,24.645107257454562
FORCED_Naf1.0PtOH2,1,5.153862657152786,61.712735234748,45.08116009596893
FORCED_Naf1.0PtO_neb_img03,1,10.76412382599301,80.91656049260207,23.081042265258365
FORCED_Nafion_four_dry,1,9.333250120505454,135.16689546899073,55.63296256829758
FORCED_Nafion_four_dry_neb_img00,1,9.458275095994395,136.83820103512662,27.457854908054944
FORCED_Nafion_four_dry_neb_img11,1,9.28118099926678,135.1679409663167,55.63352185503419
FORCED_Nafion_single_dry,1,7.909350524698766,132.22415415917342,55.64740496518214
FORCED_Nafion_single_dry_neb_img00,1,8.383988474804482,127.52624682879188,14.011542301059311
FORCED_Nafion_single_dry_neb_img11,1,7.909296554487355,132.2218886080337,55.64714400732438
FORCED_Pt_particle_3_0,1,17.876326457098912,2.3470450515907153,0.7604949713900301
FORCED_Pt_particle_6_2,1,2.2650888940916047,134.92472375587104,51.65237485586789
FORCED_Wet0.375PtO2_neb_img00,1,4.643482253300135,49.52855172148276,32.40915138926785
FORCED_Wet0.375PtOH2_neb_img00,1,6.090774313520342,55.16215368606209,36.780691224912054
FORCED_Wet0.375PtOH2_neb_img07,1,8.311996802035537,59.61722101122971,15.72371149683227
FORCED_Wet0.375PtOH_neb_img00,1,3.973716817768036,46.389221064181264,29.216683505684024
FORCED_Wet0.375PtOH_neb_img07,1,10.501858870952674,55.99504919078601,12.751213909522916
FORCED_Wet0.375PtOH_neb_img08,1,7.8768564229676485,58.630411373176436,11.965030569220499
FORCED_Wet0.375PtO_neb_img08,1,9.393915550276688,59.85369663820498,8.357567987277433
FORCED_Wet0.375Pt_neb_img10,1,5.344693532492784,55.074201440725695,24.102085446854378
FORCED_Zig4x4sat,1,14.461897364057563,22.13218497915903,7.420669424681801
Graph0.375Vac_initial,1,15.690499194022323,52.30745569110542,3.2422040356284945
Graph3V_initial,4,15.69766031245147,57.87138098597534,3.535726914731999
Graph_initial,3,16.041700202686922,57.93778984592837,3.639772990987863
Naf0.0Pt,6,7.560883753115192,75.4914073855914,52.78206699875747
Naf0.25Pt,4,9.07405939386133,80.0796336185568,43.12255240189573
Naf0.25PtO,8,9.71339484733063,70.92342967362416,40.151185203415935
Naf0.25PtO2,3,8.022239068073622,72.93950019214928,30.25764312528567
Naf0.25PtOH,3,6.8869770123264304,69.10111961951307,54.83698758058332
Naf0.25PtOH2,6,9.356982382914673,72.78458592868519,43.53500505274268
Naf0.375Pt,8,8.3024803612606,70.51608112558516,56.91883838407327
Naf0.375PtO,5,8.825355002560057,90.67966956389145,51.297708493008805
Naf0.375PtO2,11,9.103341685846399,68.64311410262472,52.10505533114439
Naf0.375PtOH,5,8.48441973313244,80.45468549079058,37.98920056390726
Naf0.375PtOH2,9,9.314482527357779,77.9060836349712,52.77597222994764
Naf0.75Pt,5,8.191568580338862,79.51078803918064,33.33568415216424
Naf0.75PtO,5,7.778903696660727,67.57706992427339,25.788591077835434
Naf0.75PtO2,7,9.316620769398808,72.22659114095424,25.354547458991775
Naf0.75PtOH,6,9.074421170500752,67.23773391064378,28.46988845117055
Naf0.75PtOH2,8,10.841471665799311,75.49501023670489,24.589416499751547
Naf1.0Pt,12,8.03522339182467,77.69189704598368,46.705009769876405
Naf1.0PtO,11,9.940481292091759,77.55276802013967,37.598050370977724
Naf1.0PtO2,12,8.967271202318985,70.93942918699823,46.172669262091404
Naf1.0PtOH,13,8.240392785377749,69.22329975487933,43.448109650127186
Naf1.0PtOH2,2,4.866262439746646,68.84433949195207,44.879131248656975
Nafion_four_dry_initial,2,10.434600301604643,135.46024035911225,12.107056096586053
PtGraph10*7_initial,5,4.090695958350588,61.141223264440605,3.8790212444983188
PtHemGraph20*10_initial,1,8.94698160078633,51.37892874612947,2.9527760717578633
PtNafSO3product_initial,1,31.758724292558327,114.18267871044722,10.554441973923208
PtNaf_initial,1,18.382494939942262,105.48640282842142,10.877357399088336
PtOso3sol_chair_initial,13,7.946206299807237,76.42088494427792,5.822331932642055
Ptparticle_oxi_so3_chari_initial,1,5.610696926112269,68.12991017099053,4.568335537388178
Wet0.0Pt,4,3.0153052950166637,46.57080938957395,29.767970526149377
Wet0.25Pt,5,2.9726492394866897,47.83564357673535,26.784353871012645
Wet0.25PtO,6,6.113096714502473,56.787737520835016,24.542453361075893
Wet0.25PtOH,2,10.204763763949153,57.66703779855383,17.1189906627382
Wet0.25PtOH2,2,4.045943776185333,53.6161221679831,36.35356617260444
