config_type,n_frames,RMSE_E_meV_per_atom,RMSE_F_meV_per_A,rel_F_RMSE_pct
FORCED_Close0.25PtOH_neb_img00,1,4.940382906056584,67.13657134643003,33.59866780017645
FORCED_Close0.25PtOH_neb_img06,1,11.413470763045552,74.82464658157973,17.97760992805178
FORCED_Close0.25PtOH_neb_img10,1,10.864932714866882,78.75278895382111,36.06145858601205
FORCED_Close0.25PtO_neb_img00,1,5.088064791834768,66.90425047061285,33.678881760627455
FORCED_Close0.25PtO_neb_img08,1,12.08032964996164,74.25808126798545,27.65795682192844
FORCED_Close0.25PtO_neb_img09,1,11.779624767882524,74.69084516466731,14.713125038708204
FORCED_Close0.25Pt_neb_img09,1,11.936224052419675,76.97189646035925,20.995707939691705
FORCED_Close0.25Pt_neb_img10,1,8.560358531440215,73.57094392183025,29.70085481704527
FORCED_Close0.375PtO2_neb_img00,1,6.539639026982513,67.92393687220961,37.69920593681938
FORCED_Close0.375PtOH2_neb_img00,1,6.219641625307304,63.67985138266026,34.7515313086151
FORCED_Close0.375PtOH2_neb_img05,1,13.768069483148793,167.42705715987597,64.80661158694242
FORCED_Close0.375PtOH2_neb_img06,1,9.524647359512528,87.15801666425219,15.473081506731578
FORCED_Close0.375PtOH_neb_img00,1,7.404196743209468,73.68172397501132,40.75272178074133
FORCED_Close0.375PtOH_neb_img08,1,6.35164803918542,72.20431792714679,38.160441765250035
FORCED_Close0.375PtO_neb_img07,1,13.87566303640142,79.49772308320424,28.248305924490037
FORCED_Close0.75PtO2_neb_img00,1,7.076313322613714,69.42157913581222,33.33317708703591
FORCED_Close0.75PtO2_neb_img11,1,8.034486991050471,65.93406089803028,28.20187670732112
FORCED_Close0.75PtOH2_neb_img00,1,6.3541803390307905,70.5859330357984,33.694232455575396
FORCED_Close0.75PtOH2_neb_img04,1,7.9614521506528035,70.64627971615866,15.316805422027757
FORCED_Close0.75PtOH_neb_img00,1,5.980531314094151,64.8725013630655,31.138028737751746
FORCED_Close0.75PtOH_neb_img11,1,8.111832975146172,82.56744513093938,35.22056528308579
FORCED_Close0.75PtO_neb_img04,1,5.494038703204751,74.4097325991117,18.555590302032854
FORCED_Close0.75PtO_neb_img05,1,5.028546100106723,69.13717692472572,30.99426807968158
FORCED_Close0.75Pt_neb_img05,1,5.564754723309306,78.20206834841832,32.51720782559743
FORCED_Close0.75Pt_neb_img07,1,8.04988605455037,65.76186342348733,27.075652674538667
FORCED_Dry0.0Pt_neb_img00,1,14.437525920129701,11.362640336772822,11.204748358742123
FORCED_Dry0.0Pt_neb_img05,1,12.538629145183222,20.885300200481705,11.900492767843502
FORCED_Dry0.25Pt_neb_img00,1,15.323405621074926,44.664412325753815,13.41891696859669
FORCED_Dry0.25Pt_neb_img06,1,18.87113710245103,28.129910226706983,7.755623498132812
FORCED_Dry0.25Pt_neb_img11,1,15.592577909501415,36.96988536600617,12.546051494979377
FORCED_Graphmono4x4x2,1,63.93231277442624,135.01739714152362,83.48360063994502
FORCED_Naf0.25PtO2_neb_img00,1,4.903612391672141,70.9698072743578,35.05409364019811
FORCED_Naf0.25PtOH2_neb_img00,1,5.117373164353012,68.14237123824333,66.6144933698189
FORCED_Naf0.25PtOH_neb_img00,1,5.8725518248365915,75.42756828666995,69.67452772311472
FORCED_Naf0.25PtOH_neb_img06,1,14.087470982076411,200.15621344674383,42.142330320439896
FORCED_Naf0.375Neb4,1,8.329277731832008,70.57602293643893,34.62483362132358
FORCED_Naf0.375PtO2_neb_img00,1,5.5835010106193295,70.00469468614789,66.85103598199046
