idx,config_type,formula,natoms,dE_per_atom_meV,F_rmse_meV_A,F_ref_rms_meV_A,F_maxerr_meV_A,worst_atom_idx,worst_atom_sym,absdE,rel_F_pct
601,none,C9H95F19O58Pt64S,246,-9.304512927462007,83.13688962214066,191.92914312342356,492.6076778683562,100,F,9.304512927462007,43.31644911720257
602,none,C9H95F19O64Pt64S,252,-10.47488976623826,63.87539659481893,431.90614421893036,430.051628793726,108,F,10.47488976623826,14.78918451376346
603,none,C9H95F19O64Pt64S,252,-12.336426623357784,67.23069522399327,347.16202765905507,442.1845811288212,106,F,12.336426623357784,19.365797485783776
604,none,C9H95F19O64Pt64S,252,-7.465822556927349,66.30549261577032,217.81307260348325,448.7597125543836,107,F,7.465822556927349,30.441466080631365
605,none,C9H95F19O64Pt64S,252,-11.307963854628651,71.97746179595403,237.1065435314722,522.6300311768422,108,F,11.307963854628651,30.356590216330385
606,none,C9H95F19O64Pt64S,252,-20.451943636068055,86.3152683412022,608.5582632836172,477.9161407884569,243,O,20.451943636068055,14.183566890615888
607,none,C9H95F19O64Pt64S,252,-9.462925058970642,70.13512055544469,220.6584067783026,530.8498983069953,71,O,9.462925058970642,31.784477002007016
608,none,C9H95F19O64Pt64S,252,-14.163515078377843,77.80504772710526,229.43011277311993,591.4514302993041,132,O,14.163515078377843,33.912308539919316
609,none,C9H95F19O64Pt64S,252,-11.641180733036775,65.89495044921294,208.22328258650936,398.11317497759194,115,F,11.641180733036775,31.646293166968942
610,none,C9H95F19O64Pt64S,252,-11.697635961080243,66.03167535277201,208.7694738424848,425.135705556767,122,F,11.697635961080243,31.628989687732062
611,none,C9H95F19O64Pt64S,252,-11.355752874575074,63.89074178711226,219.02833800392793,433.11447875646945,105,F,11.355752874575074,29.170080168332596
612,none,C9H95F19O64Pt64S,252,-11.028257430192001,59.31577920512361,221.72863632527444,382.89779046640086,116,F,11.028257430192001,26.751519419488854
613,none,C9H95F19O64Pt64S,252,-9.723497490215648,60.20339948896399,223.73055503607176,388.7804914513673,114,F,9.723497490215648,26.908885770768986
614,none,C9H95F19O64Pt64S,252,-9.44344007866531,67.72892929679782,221.2583660880234,472.85403956844533,116,F,9.44344007866531,30.610787964443865
615,none,C9H95F19O64Pt64S,252,-11.971959091227738,63.982602371263255,222.11256047581168,435.08159242856226,115,F,11.971959091227738,28.806386380940864
616,none,C9H95F19O64Pt64S,252,-11.185715523583534,73.32625707374311,233.68333461399934,473.57450460962013,115,F,11.185715523583534,31.378470867365966
617,none,C9H95F19O64Pt64S,252,-10.016853701566264,70.88641532753005,231.54196571888724,506.05417893056057,107,F,10.016853701566264,30.61493198757435
618,none,C9H95F19O68Pt64S,256,-16.163474685527035,84.86593773638705,314.26114059142185,551.1014321065273,57,Pt,16.163474685527035,27.004909858302597
